appid,name,price,currency,genres,release_date,steam_review_score
96010,The Tiny Bang Story Demo,,,,"5 May, 2011",63
96200,Steel Storm: Burning Retribution,24.99,BRL,"Action, Indie","11 May, 2011",55
96800,Nexuiz,19.99,BRL,Action,"10 May, 2012",54
97000,Solar 2,16.99,BRL,"Action, Adventure, Casual, Indie, Simulation","17 Jun, 2011",72
97010,Solar 2 Demo,,,,"17 Jun, 2011",72
97110,Kohan: Immortal Sovereigns,16.99,BRL,Strategy,"24 Aug, 2011",87
97120,Kohan: Ahriman's Gift,16.99,BRL,Strategy,"24 Aug, 2011",79
97130,Kohan II: Kings of War,16.99,BRL,Strategy,"24 Aug, 2011",81
97340,Magic: The Gathering - Duels of the Planeswalkers 2013 Demo,,,,"20 Jun, 2012",77
107410,Arma 3,29.99,USD,"Action, Simulation, Strategy","Sep 12, 2013",74
108710,Alan Wake,14.99,USD,"Action, Adventure","Feb 16, 2012",83
200260,Batman: Arkham City - Game of the Year Edition,19.99,EUR,"Action, Adventure","7 Sep, 2012",91
201810,Wolfenstein: The New Order,49.99,BRL,Action,"19 May, 2014",81
204450,Call of Juarez: Gunslinger,16000.0,KRW,Action,"22 May, 2013",79
205840,Yesterday,17.9,BRL,Adventure,"22 Mar, 2012",65
205910,Tiny and Big: Grandpa's Leftovers,38.49,BRL,Indie,"19 Jun, 2012",75
205990,Warlock 2: The Exiled,71.99,BRL,Strategy,"10 Apr, 2014",73
206190,Gunpoint,16.99,BRL,"Action, Indie, Strategy","3 Jun, 2013",83
206230,Clan of Champions,6.99,BRL,Action,"30 Oct, 2012",42
206290,Unstoppable Gorg Demo,,,,"13 Feb, 2012",73
206370,Tales From Space: Mutant Blobs Attack,32.99,BRL,"Action, Indie","15 Aug, 2012",83
206420,Saints Row IV: Re-Elected,99.0,BRL,"Action, Adventure","19 Aug, 2013",86
206440,To the Moon,6.99,BRL,"Adventure, Indie, RPG","7 Sep, 2012",81
206760,Painkiller: Recurring Evil,10.0,BRL,Action,"29 Feb, 2012",38
207040,Sine Mora,,,"Action, Indie","9 Nov, 2012",77
207140,SpeedRunners,46.99,BRL,"Action, Casual, Indie, Racing, Sports","19 Apr, 2016",84
207170,Legend of Grimrock,46.99,BRL,"Adventure, Indie, RPG","11 Apr, 2012",82
207190,Fireburst,26.49,BRL,"Action, Adventure, Racing","25 Apr, 2012",59
207250,Cubemen,6.39,BRL,"Indie, Strategy","16 Mar, 2012",74
207320,Ys: The Oath in Felghana,16.99,CAD,"Action, Adventure, RPG","19 Mar, 2012",73
207350,Ys Origin,21.99,CAD,"Action, Adventure, RPG","31 May, 2012",76
207420,Wizorb,6.29,BRL,"Action, Adventure, Indie","14 Mar, 2012",81
207490,Rayman® Origins,59.99,BRL,"Action, Adventure","29 Mar, 2012",86
207510,Rayman Origins Demo,,,"Action, Adventure","29 Feb, 2012",86
207530,Noitu Love 2: Devolution,10.49,BRL,"Action, Indie","23 Apr, 2012",80
207610,The Walking Dead,46.99,BRL,Adventure,"24 Apr, 2012",82
207620,The Walking Dead: 400 Days,16.99,BRL,Adventure,"3 Jul, 2013",78
207650,A Virus Named TOM,20.49,BRL,"Action, Indie, Strategy","1 Aug, 2012",65
207690,Botanicula,44.99,BRL,"Adventure, Casual, Indie","7 May, 2012",82
207750,Symphony,16.99,BRL,"Action, Casual, Indie","6 Aug, 2012",75
207770,Men of War: Assault Squad GOTY Demo,,,,"20 Mar, 2012",77
207870,Borderlands 2 - Captain Scarlett and her Pirate's Booty,14.99,BRL,"Action, RPG","16 Oct, 2012",80
207930,Sacred Citadel,4.99,BRL,Action,"16 Apr, 2013",61
207990,Sine Mora Demo,,,"Action, Indie","27 Nov, 2012",77
208010,Noitu Love 2 Devolution,,,,"25 Apr, 2012",80
208070,Waveform Demo,,,,"20 Mar, 2012",81
208110,Myst V: End of Ages,32.99,BRL,"Adventure, Casual","16 Mar, 2012",80
208140,ENDLESS™ Space - Definitive Edition,19.99,BRL,Strategy,"4 Jul, 2012",77
